time,abrupt_drift,gradual_drift,abrupt_regime,gradual_regime
0,0.4967141530112327,0.4967141530112327,0,0.0
1,-0.13826430117118466,-0.13826430117118466,0,0.0
2,-0.14518541772912502,-0.14518541772912502,0,0.0
3,0.06380751169173947,0.06380751169173947,0,0.0
4,0.05666775542688299,0.05666775542688299,0,0.0
5,0.009159006308240448,0.009159006308240448,0,0.0
6,0.1539149355119549,0.1539149355119549,0,0.0
7,0.19804362006320672,0.19804362006320672,0,0.0
8,0.0807044703546792,0.0807044703546792,0,0.0
9,0.07921085662969848,0.07921085662969848,0,0.0
10,0.0008860219515767209,0.0008860219515767209,0,0.0
11,-0.06170632912170401,-0.06170632912170401,0,0.0
12,-0.025346040531075142,-0.025346040531075142,0,0.0
13,-0.1992635910662991,-0.1992635910662991,0,0.0
14,-0.3268334479981275,-0.3268334479981275,0,0.0
15,-0.2778427931093395,-0.2778427931093395,0,0.0
16,-0.2581906569212885,-0.2581906569212885,0,0.0
17,-0.11955923365563553,-0.11955923365563553,0,0.0
18,-0.13481166309237183,-0.13481166309237183,0,0.0
19,-0.2251678538762995,-0.2251678538762995,0,0.0
20,-0.006607073590409851,-0.006607073590409851,0,0.0
21,0.017170281854278456,0.017170281854278456,0,0.0
22,0.02181046067029712,0.02181046067029712,0,0.0
23,-0.12846050645596366,-0.12846050645596366,0,0.0
24,-0.16156876975134862,-0.16156876975134862,0,0.0
25,-0.09247065553889956,-0.09247065553889956,0,0.0
26,-0.15676212822308022,-0.15676212822308022,0,0.0
27,-0.06934576963611705,-0.06934576963611705,0,0.0
28,-0.0841880590561581,-0.0841880590561581,0,0.0
29,-0.08265066829703076,-0.08265066829703076,0,0.0
30,-0.10945358404933268,-0.10945358404933268,0,0.0
31,0.11419508487083378,0.11419508487083378,0,0.0
32,0.11189706223274018,0.11189706223274018,0,0.0
33,-0.039092460083564665,-0.039092460083564665,0,0.0
34,0.028601110696919146,0.028601110696919146,0,0.0
35,-0.09138498442285398,-0.09138498442285398,0,0.0
36,-0.05794185017719147,-0.05794185017719147,0,0.0
37,-0.22404349564515996,-0.22404349564515996,0,0.0
38,-0.3004650313705327,-0.3004650313705327,0,0.0
39,-0.17587720238048185,-0.17587720238048185,0,0.0
40,-0.006762097630737901,-0.006762097630737901,0,0.0
41,0.046902590490503104,0.046902590490503104,0,0.0
42,0.027309663679726013,0.027309663679726013,0,0.0
43,-0.01764315671324869,-0.01764315671324869,0,0.0
44,-0.1674286571432869,-0.1674286571432869,0,0.0
45,-0.20239871521145064,-0.20239871521145064,0,0.0
46,-0.1744971178364819,-0.1744971178364819,0,0.0
47,0.006594271394996173,0.006594271394996173,0,0.0
48,0.07453666964013947,0.07453666964013947,0,0.0
49,-0.11799353410316105,-0.11799353410316105,0,0.0
50,-0.07689376427107725,-0.07689376427107725,0,0.0
51,-0.07642453263786125,-0.07642453263786125,0,0.0
52,-0.11345307328666943,-0.11345307328666943,0,0.0
53,-0.014309923217676504,-0.014309923217676504,0,0.0
54,0.11434262833278779,0.11434262833278779,0,0.0
55,0.1874640992213854,0.1874640992213854,0,0.0
56,0.04318100138828691,0.04318100138828691,0,0.0
57,-0.03386925631876901,-0.03386925631876901,0,0.0
58,-0.0026052621923162017,-0.0026052621923162017,0,0.0
59,0.10224415422213676,0.10224415422213676,0,0.0
60,0.034398952031643656,0.034398952031643656,0,0.0
61,-0.011495566885494139,-0.011495566885494139,0,0.0
62,-0.12670974131532686,-0.12670974131532686,0,0.0
63,-0.21868934208322977,-0.21868934208322977,0,0.0
64,-0.06835694316409863,-0.06835694316409863,0,0.0
65,0.12467631674244933,0.12467631674244933,0,0.0
66,0.10621142986874581,0.10621142986874581,0,0.0
67,0.1603871703357092,0.1603871703357092,0,0.0
68,0.14323105279958162,0.14323105279958162,0,0.0
69,0.01799543271201104,0.01799543271201104,0,0.0
70,0.0218896961605339,0.0218896961605339,0,0.0
71,0.16771632703262185,0.16771632703262185,0,0.0
72,0.12621251848299556,0.12621251848299556,0,0.0
73,0.22389111496127273,0.22389111496127273,0,0.0
74,-0.10810412213655538,-0.10810412213655538,0,0.0
75,-0.049071270263976466,-0.049071270263976466,0,0.0
76,-0.008931484960052978,-0.008931484960052978,0,0.0
77,-0.027231668961833832,-0.027231668961833832,0,0.0
78,-0.010822960523906243,-0.010822960523906243,0,0.0
79,-0.20196892608684752,-0.20196892608684752,0,0.0
80,-0.18137773754844796,-0.18137773754844796,0,0.0
81,-0.06899714767021423,-0.06899714767021423,0,0.0
82,0.12886723384766982,0.12886723384766982,0,0.0
83,0.06506619478481399,0.06506619478481399,0,0.0
84,-0.054569851231001554,-0.054569851231001554,0,0.0
85,-0.1068448243002177,-0.1068448243002177,0,0.0
86,0.016978322576233565,0.016978322576233565,0,0.0
87,0.06782673388699884,0.06782673388699884,0,0.0
88,-0.002110297782351521,-0.002110297782351521,0,0.0
89,0.036073158308054624,0.036073158308054624,0,0.0
90,0.03898834113771804,0.03898834113771804,0,0.0
91,0.12084054030185243,0.12084054030185243,0,0.0
92,0.018669454626203105,0.018669454626203105,0,0.0
93,-0.04199875901918483,-0.04199875901918483,0,0.0
94,-0.07654371345380426,-0.07654371345380426,0,0.0
95,-0.1991867137724183,-0.1991867137724183,0,0.0
96,-0.11442860062071622,-0.11442860062071622,0,0.0
